Player,player_url,Pos,TeamCurrently With,AgeAt Signing,Start,End,Yrs,Value,AAV,PosGroup
Danny Coulombe,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16093/danny-coulombe,RP,TEX TEX,35,2025,2025,1,"$3,000,000","$3,000,000",RP
Tim Hill,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24628/tim-hill,RP,NYY NYY,34,2025,2026,1,"$2,850,000","$2,850,000",RP
Caleb Thielbar,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14320/caleb-thielbar,RP,CHC CHC,37,2025,2025,1,"$2,750,000","$2,750,000",RP
Derek Law,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16588/derek-law,RP,WSH WSH,34,2025,2025,1,"$2,750,000","$2,750,000",RP
Dietrich Enns,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21191/dietrich-enns,RP,BAL BAL,34,2026,2027,1,"$2,625,000","$2,625,000",RP
Ryan Yarbrough,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24643/ryan-yarbrough,RP,NYY NYY,33,2026,2026,1,"$2,500,000","$2,500,000",RP
Hoby Milner,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21335/hoby-milner,RP,TEX TEX,33,2025,2025,1,"$2,500,000","$2,500,000",RP
Alex Vesia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/26719/alex-vesia,RP,LAD LAD,28,2025,2025,1,"$2,300,000","$2,300,000",RP
Justin Wilson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11507/justin-wilson,RP,BOS BOS,37,2025,2025,1,"$2,250,000","$2,250,000",RP
Phil Maton,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23083/phil-maton,RP,TEX TEX,31,2025,2025,1,"$2,000,000","$2,000,000",RP
Luke Weaver,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17703/luke-weaver,RP,NYY NYY,30,2024,2025,1,"$2,000,000","$2,000,000",RP
Brooks Raley,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11626/brooks-raley,RP,NYM NYM,36,2025,2026,1,"$1,850,000","$1,850,000",RP
Drew Pomeranz,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8709/drew-pomeranz,RP,CHC CHC,36,2025,2025,1,"$1,500,000","$1,500,000",RP
Miguel Castro,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16628/miguel-castro,RP,CHW CHW,30,2025,2025,1,"$1,500,000","$1,500,000",RP
Nate Pearson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23237/nate-pearson,RP,HOU HOU,29,2026,2026,1,"$1,350,000","$1,350,000",RP
Keegan Thompson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23316/keegan-thompson,RP,CIN CIN,30,2026,2026,1,"$1,300,000","$1,300,000",RP
Jalen Beeks,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24547/jalen-beeks,RP,ARI ARI,31,2025,2025,1,"$1,250,000","$1,250,000",RP
Shawn Armstrong,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16520/shawn-armstrong,RP,TEX TEX,34,2025,2025,1,"$1,250,000","$1,250,000",RP
Kyle Hart,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/35717/kyle-hart,RP,SD SD,32,2026,2027,1,"$1,000,000","$1,000,000",RP
Richard Lovelady,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20073/richard-lovelady,RP,NYM NYM,30,2026,2026,1,"$1,000,000","$1,000,000",RP
Shelby Miller,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11476/shelby-miller,RP,MIL MIL,34,2025,2025,1,"$1,000,000","$1,000,000",RP
Sean Newcomb,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17692/sean-newcomb,RP,ATH ATH,31,2025,2025,1,"$1,000,000","$1,000,000",RP
Andrew Chafin,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15178/andrew-chafin,RP,LAA LAA,34,2025,2025,1,"$1,000,000","$1,000,000",RP
Hunter Strickland,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/12095/hunter-strickland,RP,LAA LAA,36,2025,2025,1,"$1,000,000","$1,000,000",RP
Tim Mayza,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24365/tim-mayza,RP,PHI PHI,33,2025,2025,1,"$976,876","$976,876",RP
Nick Mears,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48772/nick-mears,RP,MIL MIL,28,2025,2025,1,"$963,000","$963,000",RP
Rico Garcia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32811/rico-garcia,RP,BAL BAL,31,2026,2026,1,"$900,000","$900,000",RP
Josh Walker,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/74692/josh-walker,RP,ATL ATL,30,2026,2026,1,"$820,000","$820,000",RP
Cooper Criswell,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/27608/cooper-criswell,RP,BOS BOS,29,2026,2026,1,"$800,000","$800,000",RP
José Ureña,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16098/jos%C3%A9-ure%C3%B1a,RP,LAA LAA,33,2025,2025,1,"$760,000","$760,000",RP
JT Brubaker,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28185/jt-brubaker,RP,SF SF,31,2025,2025,1,"$760,000","$760,000",RP
Craig Kimbrel,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/7233/craig-kimbrel,RP,HOU HOU,37,2025,2025,1,"$760,000","$760,000",RP
Paul Blackburn,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21233/paul-blackburn,RP,NYY NYY,31,2025,2025,1,"$760,000","$760,000",RP
Luke Jackson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16598/luke-jackson,RP,SEA SEA,33,2025,2025,1,"$760,000","$760,000",RP
Ron Marinaccio,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/74683/ron-marinaccio,RP,SD SD,29,2025,2025,1,"$760,000","$760,000",RP
Lou Trivino,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24639/lou-trivino,RP,PHI PHI,33,2025,2025,1,"$760,000","$760,000",RP
Luis Garcia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16053/luis-garcia,RP,LAA LAA,38,2025,2025,1,"$760,000","$760,000",RP
